site,leaf_type,species,mesh,code_num,om_percent
W,ROS,Red Oak ,Small,446,91.75253517
W,ROS,Red Oak ,Small,429op,92.84702821
CC,ROS,Red Oak ,Small,447,92.6964146
CC,ROS,Red Oak ,Small,430,93.29585383
CC,ROS,Red Oak ,Small,438,92.58745394
CC,ROS,Red Oak ,Small,451,91.94489139
CC,ROS,Red Oak ,Small,437,92.26520419
BA,SYC,Sycamore,Small,521,88.25604151
BA,SYC,Sycamore,Small,501,78.64376333
BA,SYC,Sycamore,Small,512,86.0728527
BA,SYC,Sycamore,Small,503,88.43074824
BA,SYC,Sycamore,Small,524,81.71632896
G,SYC,Sycamore,Small,537,91.03386679
G,SYC,Sycamore,Small,515,88.63844338
G,SYC,Sycamore,Small,516,88.0168607
G,SYC,Sycamore,Small,530,89.59959114
G,SYC,Sycamore,Small,508,82.95520345
W,SYC,Sycamore,Small,519,91.29476989
W,SYC,Sycamore,Small,535,91.35748781
W,SYC,Sycamore,Small,510,91.57950514
W,SYC,Sycamore,Small,536,92.04643333
W,SYC,Sycamore,Small,5xx,89.56681512
CC,SYC,Sycamore,Small,513,92.91652477
CC,SYC,Sycamore,Small,506,92.94633748
CC,SYC,Sycamore,Small,525,91.84143277
CC,SYC,Sycamore,Small,527,91.68496096
CC,SYC,Sycamore,Small,529,92.50693388
